,Rank_books,Word,Count (per billion),Count,Rank_subtitles
0,1,the,56271872,22761659.0,3.0
1,2,of,33950064,8915110.0,11.0
2,3,and,29944184,10572938.0,8.0
3,4,to,25956096,17099834.0,4.0
4,5,in,17420636,7337058.0,13.0
5,6,i,11764797,27086011.0,2.0
6,7,that,11073318,10203742.0,9.0
7,8,was,10078245,4401531.0,25.0
8,9,his,8799755,1666361.0,76.0
9,10,he,8397205,5516364.0,18.0
10,11,it,8058110,13631703.0,7.0
11,12,with,7725512,3806977.0,35.0
12,13,is,7557477,7400675.0,12.0
13,14,for,7097981,5174060.0,19.0
14,15,as,7037543,1792220.0,68.0
15,16,had,6139336,1274537.0,92.0
16,17,you,6048903,28787591.0,1.0
17,18,not,5741803,4262273.0,28.0
18,19,be,5662527,4210868.0,29.0
19,20,her,5202501,2154982.0,60.0
20,21,on,5113263,4821861.0,21.0
21,22,at,5091841,2431398.0,53.0
22,23,by,5061050,1090424.0,106.0
23,24,which,4580906,422483.0,199.0
24,25,have,4346500,4764010.0,22.0
25,26,or,4228287,1267646.0,93.0
26,27,from,4108111,1709582.0,74.0
27,28,this,4015425,5739788.0,17.0
28,29,him,3971997,2431059.0,54.0
29,30,but,3894211,3631462.0,36.0
30,31,all,3703342,3544700.0,37.0
31,32,she,3415846,2778359.0,46.0
32,33,they,3340398,3060204.0,42.0
33,34,were,3323884,1315964.0,89.0
34,35,my,3277699,4938948.0,20.0
35,36,are,3224178,4203821.0,30.0
36,37,me,3027134,6444985.0,16.0
37,38,one,2832569,2263956.0,57.0
38,39,their,2820265,601171.0,152.0
39,40,so,2802481,3434152.0,38.0
40,41,an,2641417,1449181.0,81.0
41,42,said,2637136,818878.0,126.0
42,43,them,2509917,1327509.0,87.0
43,44,we,2491655,6755687.0,15.0
44,45,who,2472663,1734491.0,72.0
45,46,would,2400858,1340070.0,86.0
46,47,been,2357654,1265150.0,94.0
47,48,will,2320022,1969807.0,64.0
48,49,no,2241145,4374975.0,27.0
49,50,when,1980046,1531731.0,78.0
50,51,there,1961200,3148528.0,40.0
51,52,if,1951102,2630800.0,48.0
52,53,more,1899787,1010390.0,111.0
53,54,out,1875351,2510010.0,50.0
54,55,up,1792712,2459855.0,52.0
55,56,into,1703963,655747.0,142.0
56,57,do,1680164,4419883.0,24.0
57,58,any,1665366,767968.0,132.0
58,59,your,1658553,4610945.0,23.0
59,60,what,1605908,6900164.0,14.0
60,61,has,1602329,1035310.0,109.0
61,62,man,1573117,1173588.0,99.0
62,63,could,1571110,1111837.0,103.0
63,64,other,1533530,577197.0,158.0
64,65,than,1508779,561014.0,166.0
65,66,our,1498473,1191941.0,95.0
66,67,some,1476767,1166914.0,100.0
67,68,very,1462382,945653.0,115.0
68,69,time,1449681,1453708.0,80.0
69,70,upon,1424595,47699.0,1098.0
70,71,about,1414687,2487348.0,51.0
71,72,may,1400642,373526.0,225.0
72,73,its,1373270,180594.0,401.0
73,74,only,1318367,887363.0,117.0
74,75,now,1317723,2298830.0,55.0
75,76,like,1280625,2983027.0,43.0
76,77,little,1273589,869522.0,121.0
77,78,then,1255636,1275502.0,91.0
78,79,can,1210074,3826118.0,34.0
79,80,should,1192154,823711.0,124.0
80,81,made,1188501,433900.0,196.0
81,82,did,1185720,1742764.0,70.0
82,83,us,1171742,1346903.0,85.0
83,84,such,1136757,261104.0,298.0
84,85,a,1135294,14484562.0,5.0
85,86,great,1120163,545768.0,171.0
86,87,before,1117089,578606.0,157.0
87,88,must,1108116,580931.0,156.0
88,89,two,1093366,764564.0,133.0
89,90,these,1090510,683128.0,139.0
90,91,see,1084286,1781493.0,69.0
91,92,know,1075612,3892394.0,33.0
92,93,over,1056659,880841.0,119.0
93,94,much,1021822,738599.0,135.0
94,95,down,989808,978966.0,113.0
95,96,after,978575,572761.0,162.0
96,97,first,978196,656387.0,141.0
97,98,Mr,974419,,
98,99,good,966602,1741730.0,71.0
99,100,men,923053,257319.0,307.0
100,101,own,922130,352542.0,239.0
101,102,never,899673,930831.0,116.0
102,103,most,889691,283006.0,279.0
103,104,old,887917,431911.0,197.0
104,105,shall,883846,164162.0,440.0
105,106,day,882331,617674.0,149.0
106,107,where,881975,1322226.0,88.0
107,108,those,878621,528404.0,172.0
108,109,came,873144,374486.0,224.0
109,110,come,873007,2203919.0,58.0
110,111,himself,863478,109748.0,585.0
111,112,way,860027,1000182.0,112.0
112,113,work,829823,611677.0,151.0
113,114,life,825485,624596.0,146.0
114,115,without,819684,290509.0,273.0
115,116,go,816536,2738504.0,47.0
116,117,make,807600,963885.0,114.0
117,118,well,799596,2159909.0,59.0
118,119,through,792925,388127.0,216.0
119,120,being,792220,386528.0,217.0
120,121,long,791686,496267.0,182.0
121,122,say,788124,1153915.0,101.0
122,123,might,787455,367145.0,230.0
123,124,how,770603,2140365.0,61.0
124,125,am,761957,785830.0,130.0
125,126,too,758856,1022558.0,110.0
126,127,even,750750,744544.0,134.0
127,128,def,748992,689.0,22199.0
128,129,again,745230,590019.0,154.0
129,130,many,744168,314850.0,257.0
130,131,back,740270,1405024.0,83.0
131,132,here,729829,3138591.0,41.0
132,133,think,715780,1839473.0,67.0
133,134,every,704444,388520.0,214.0
134,135,people,701741,885915.0,118.0
135,136,went,690186,321824.0,254.0
136,137,same,689376,348167.0,240.0
137,138,last,680833,527395.0,173.0
138,139,thought,674623,558542.0,167.0
139,140,away,673810,564268.0,165.0
140,141,under,671168,189347.0,385.0
141,142,take,656486,1312232.0,90.0
142,143,found,654512,337382.0,245.0
143,144,hand,648227,206247.0,367.0
144,145,eyes,647788,179260.0,403.0
145,146,still,640067,639540.0,144.0
146,147,place,621773,444863.0,190.0
147,148,while,613918,255970.0,311.0
148,149,just,610168,3334392.0,39.0
149,150,also,608042,259803.0,301.0
150,151,young,591821,194810.0,375.0
151,152,yet,588615,257947.0,306.0
152,153,though,570877,154479.0,463.0
153,154,against,569459,165033.0,435.0
154,155,things,567559,503642.0,179.0
155,156,get,564674,2883193.0,45.0
156,157,ever,559207,444088.0,191.0
157,158,give,554003,811919.0,128.0
158,159,god,552668,611924.0,150.0
159,160,years,547420,481860.0,183.0
160,161,off,545832,799351.0,129.0
161,162,face,544251,225482.0,347.0
162,163,nothing,541692,622415.0,147.0
163,164,right,536737,2576821.0,49.0
164,165,once,534154,269704.0,288.0
165,166,another,533985,365421.0,234.0
166,167,left,531797,378587.0,220.0
167,168,part,526137,192248.0,380.0
168,169,saw,520922,297985.0,270.0
169,170,house,517564,388585.0,213.0
170,171,world,517557,370620.0,228.0
171,172,head,512481,266844.0,290.0
172,173,three,502146,366626.0,231.0
173,174,took,501669,258808.0,304.0
174,175,new,498040,508486.0,178.0
175,176,love,496496,830324.0,123.0
176,177,always,495834,503417.0,180.0
177,178,Mrs,495443,,
178,179,put,495189,552246.0,170.0
179,180,night,484878,556318.0,169.0
180,181,each,484599,211943.0,361.0
181,182,king,479849,118230.0,558.0
182,183,between,479034,152520.0,468.0
183,184,tell,475277,1176290.0,97.0
184,185,mind,470313,312927.0,258.0
185,186,heart,467157,213914.0,359.0
186,187,few,466338,231375.0,339.0
187,188,because,465587,880112.0,120.0
188,189,thing,461472,697528.0,138.0
189,190,whom,458312,37735.0,1349.0
190,191,far,456267,182287.0,399.0
191,192,seemed,447884,40343.0,1275.0
192,193,looked,447491,90441.0,661.0
193,194,called,445602,264588.0,291.0
194,195,whole,435059,257109.0,308.0
195,196,de,433393,44903.0,1149.0
196,197,set,432637,164165.0,439.0
197,198,both,432491,270720.0,286.0
198,199,got,432016,1968389.0,65.0
199,200,find,431120,626520.0,145.0
200,201,done,430389,408760.0,202.0
201,202,heard,429972,269851.0,287.0
202,203,look,428871,1348467.0,84.0
203,204,name,427021,455543.0,189.0
204,205,days,426104,253171.0,314.0
205,206,told,424696,517951.0,176.0
206,207,let,424320,1705262.0,75.0
207,208,lord,422407,124880.0,544.0
208,209,country,420788,125731.0,539.0
209,210,asked,420044,171740.0,419.0
210,211,going,419315,1520767.0,79.0
211,212,seen,418862,282420.0,280.0
212,213,better,416463,520328.0,174.0
213,214,p,415673,11737.0,3337.0
214,215,having,415355,206106.0,368.0
215,216,home,413499,556894.0,168.0
216,217,knew,413101,262988.0,294.0
217,218,side,405810,155667.0,460.0
218,219,something,398727,1038638.0,108.0
219,220,moment,390988,159995.0,448.0
220,221,father,387790,437537.0,194.0
221,222,among,387549,33190.0,1496.0
222,223,course,385303,381816.0,218.0
223,224,hands,385081,176291.0,411.0
224,225,woman,384156,324673.0,253.0
225,226,enough,382266,376973.0,222.0
226,227,words,380328,98242.0,628.0
227,228,mother,373898,372846.0,226.0
228,229,soon,373813,213279.0,360.0
229,230,full,371831,129735.0,526.0
230,231,end,369761,237387.0,331.0
231,232,gave,369036,186445.0,394.0
232,233,room,366719,290206.0,275.0
233,234,almost,366630,148405.0,475.0
234,235,small,359970,112316.0,577.0
235,236,thou,355857,19007.0,2322.0
236,237,cannot,355656,103913.0,605.0
237,238,water,355467,193014.0,378.0
238,239,want,354212,1950845.0,66.0
239,240,however,352828,40098.0,1282.0
240,241,light,351253,126657.0,535.0
241,242,quite,350537,166980.0,428.0
242,243,brought,349925,140661.0,496.0
243,244,nor,349691,34821.0,1444.0
244,245,word,349685,164938.0,436.0
245,246,whose,344377,49808.0,1062.0
246,247,given,344141,87738.0,674.0
247,248,door,342388,261118.0,297.0
248,249,best,337544,307071.0,261.0
249,250,turned,337367,85279.0,688.0
250,251,taken,335210,115236.0,569.0
251,252,does,334332,478174.0,185.0
252,253,use,333883,256079.0,310.0
253,254,morning,330567,303550.0,264.0
254,255,myself,328630,240460.0,327.0
255,256,Gutenberg,328324,,
256,257,felt,326524,93826.0,650.0
257,258,until,326391,225171.0,348.0
258,259,since,326386,254427.0,312.0
259,260,power,326243,136611.0,508.0
260,261,themselves,325793,44832.0,1151.0
261,262,used,325791,263566.0,292.0
262,263,rather,325719,94057.0,649.0
263,264,began,325327,30049.0,1618.0
264,265,present,324509,63307.0,865.0
265,266,voice,322870,94104.0,647.0
266,267,others,322643,96631.0,635.0
267,268,white,322465,112881.0,574.0
268,269,works,318937,79323.0,721.0
269,270,less,316490,90011.0,662.0
270,271,money,315642,471643.0,186.0
271,272,next,313167,335573.0,246.0
272,273,poor,311818,107444.0,594.0
273,274,death,309653,189000.0,386.0
274,275,stood,308025,20827.0,2156.0
275,276,form,307506,40833.0,1260.0
276,277,within,307223,56709.0,962.0
277,278,together,304955,302404.0,267.0
278,279,till,304735,97044.0,634.0
279,280,thy,304489,18023.0,2418.0
280,281,large,304240,37373.0,1360.0
281,282,matter,301283,247812.0,317.0
282,283,kind,298191,392242.0,211.0
283,284,often,296798,55998.0,972.0
284,285,certain,296795,61050.0,898.0
285,286,herself,295916,42884.0,1198.0
286,287,year,295745,208705.0,364.0
287,288,friend,295078,308204.0,260.0
288,289,half,293866,138527.0,502.0
289,290,order,293593,125446.0,541.0
290,291,round,291647,70043.0,796.0
291,292,true,291427,214773.0,357.0
292,293,anything,289997,640206.0,143.0
293,294,keep,289304,498392.0,181.0
294,295,sent,287876,113959.0,573.0
295,296,wife,286847,254038.0,313.0
296,297,means,284431,174311.0,415.0
297,298,believe,281965,403874.0,205.0
298,299,passed,279864,45678.0,1130.0
299,300,feet,279821,83295.0,702.0
300,301,near,278870,68790.0,804.0
301,302,public,278365,59687.0,921.0
302,303,state,277682,80818.0,715.0
303,304,son,277227,325997.0,251.0
304,305,hundred,275990,49823.0,1061.0
305,306,children,275607,156181.0,459.0
306,307,thus,275221,11684.0,3345.0
307,308,hope,273746,226993.0,346.0
308,309,alone,272173,240475.0,326.0
309,310,above,271641,40388.0,1272.0
310,311,case,271588,215274.0,354.0
311,312,dear,270503,167351.0,427.0
312,313,thee,269414,16410.0,2599.0
313,314,says,268542,215090.0,356.0
314,315,person,267878,192652.0,379.0
315,316,high,266672,140078.0,499.0
316,317,read,265947,154667.0,462.0
317,318,city,265138,142573.0,488.0
318,319,already,264662,287837.0,277.0
319,320,received,264606,27728.0,1722.0
320,321,fact,263613,124995.0,543.0
321,322,gone,263585,240082.0,329.0
322,323,girl,262689,402557.0,206.0
323,324,known,262571,95125.0,643.0
324,325,hear,260746,360665.0,236.0
325,326,times,260596,176522.0,409.0
326,327,least,259916,162905.0,444.0
327,328,perhaps,257964,109240.0,586.0
328,329,sure,255885,709390.0,137.0
329,330,indeed,255789,41591.0,1242.0
330,331,english,255212,55677.0,978.0
331,332,open,254373,229669.0,343.0
332,333,body,252812,168798.0,423.0
333,334,itself,251252,39330.0,1302.0
334,335,along,251163,128220.0,531.0
335,336,land,249677,83422.0,701.0
336,337,return,249533,89451.0,667.0
337,338,leave,249063,478282.0,184.0
338,339,air,247480,100137.0,619.0
339,340,nature,246792,38496.0,1321.0
340,341,answered,246251,11431.0,3410.0
341,342,either,244426,137448.0,506.0
342,343,law,244138,78264.0,725.0
343,344,help,243712,666286.0,140.0
344,345,lay,242753,36984.0,1370.0
345,346,point,242269,174205.0,416.0
346,347,child,242201,151864.0,469.0
347,348,letter,242178,65448.0,843.0
348,349,four,242099,166957.0,429.0
349,350,wish,241091,160204.0,447.0
350,351,fire,240652,157532.0,455.0
351,352,cried,240280,11236.0,3456.0
352,353,2,240009,,
353,354,women,239735,150803.0,473.0
354,355,speak,239025,150927.0,472.0
355,356,number,238734,163259.0,442.0
356,357,therefore,238281,18733.0,2349.0
357,358,hour,237964,112782.0,575.0
358,359,friends,237481,230464.0,340.0
359,360,held,235474,34733.0,1451.0
360,361,free,235012,137598.0,505.0
361,362,war,234544,142825.0,487.0
362,363,during,233771,74298.0,755.0
363,364,several,233197,35232.0,1428.0
364,365,business,233158,215855.0,353.0
365,366,whether,230819,59993.0,916.0
366,367,er,230485,46383.0,1115.0
367,368,manner,230401,9260.0,4017.0
368,369,second,230300,193687.0,376.0
369,370,reason,229940,144399.0,484.0
370,371,replied,229913,2296.0,10540.0
371,372,united,226953,31812.0,1547.0
372,373,call,226661,572997.0,161.0
373,374,general,226391,76816.0,735.0
374,375,why,226216,1722797.0,73.0
375,376,behind,226205,148469.0,474.0
376,377,became,224811,53603.0,1006.0
377,378,john,224569,109966.0,584.0
378,379,become,224326,128716.0,530.0
379,380,dead,224049,317589.0,256.0
380,381,earth,222546,106394.0,597.0
381,382,boy,222315,302508.0,266.0
382,383,lost,222264,222398.0,349.0
383,384,forth,220598,12049.0,3279.0
384,385,thousand,218623,47934.0,1093.0
385,386,looking,218510,326550.0,250.0
386,387,I'll,218372,,
387,388,family,218118,294543.0,271.0
388,389,soul,217840,58677.0,934.0
389,390,feel,216356,444014.0,192.0
390,391,coming,215147,389949.0,212.0
391,392,England,214339,,
392,393,spirit,213257,39556.0,1296.0
393,394,question,213124,140970.0,495.0
394,395,care,213072,330956.0,248.0
395,396,truth,212548,148389.0,476.0
396,397,ground,212369,62860.0,870.0
397,398,really,211722,1174710.0,98.0
398,399,rest,211668,158976.0,453.0
399,400,mean,211299,821275.0,125.0
400,401,different,211043,174657.0,414.0
401,402,making,210031,169037.0,422.0
402,403,possible,209099,106080.0,598.0
403,404,fell,208344,61371.0,896.0
404,405,towards,208199,33032.0,1504.0
405,406,human,206740,102595.0,611.0
406,407,kept,206329,75930.0,745.0
407,408,short,206216,63714.0,862.0
408,409,town,205687,141835.0,490.0
409,410,following,205653,39136.0,1307.0
410,411,need,204955,1040131.0,107.0
411,412,cause,204686,121264.0,555.0
412,413,met,203956,141208.0,493.0
413,414,evening,203331,95321.0,641.0
414,415,returned,202041,25860.0,1820.0
415,416,five,201451,183626.0,397.0
416,417,strong,200224,80501.0,716.0
417,418,able,200145,147205.0,478.0
418,419,french,199969,53911.0,1003.0
419,420,live,199658,281046.0,281.0
420,421,lady,199560,147121.0,479.0
421,422,subject,198566,24820.0,1884.0
422,423,sn,198498,244.0,39756.0
423,424,answer,198187,134088.0,517.0
424,425,sea,198128,60812.0,902.0
425,426,fear,196739,64352.0,857.0
426,427,understand,196729,365210.0,235.0
427,428,hard,196458,242871.0,324.0
428,429,terms,196252,21034.0,2135.0
429,430,doubt,195905,51287.0,1038.0
430,431,around,195594,471463.0,187.0
431,432,ask,194903,354323.0,238.0
432,433,arms,194298,45390.0,1139.0
433,434,turn,192763,218563.0,352.0
434,435,sense,192719,96442.0,638.0
435,436,seems,192229,136699.0,507.0
436,437,black,191272,123718.0,549.0
437,438,bring,191148,247343.0,319.0
438,439,followed,190649,28510.0,1685.0
439,440,beautiful,190563,200811.0,370.0
440,441,close,188915,166677.0,431.0
441,442,dark,188316,73770.0,762.0
442,443,hold,186609,262367.0,295.0
443,444,character,186256,31657.0,1552.0
444,445,sort,186136,117267.0,562.0
445,446,sight,185862,32715.0,1518.0
446,447,ten,184612,100133.0,620.0
447,448,show,184074,347408.0,241.0
448,449,party,184068,166137.0,433.0
449,450,fine,183059,400530.0,208.0
450,451,ye,182978,10344.0,3674.0
451,452,ready,181866,267268.0,289.0
452,453,story,180998,164040.0,441.0
453,454,common,180061,36698.0,1387.0
454,455,book,179739,113963.0,572.0
455,456,electronic,179347,7860.0,4570.0
456,457,talk,178877,567036.0,164.0
457,458,account,178452,34088.0,1467.0
458,459,mark,178084,61805.0,889.0
459,460,interest,178001,39252.0,1304.0
460,461,written,177232,40246.0,1278.0
461,462,can't,176728,,
462,463,bed,176635,131445.0,524.0
463,464,necessary,176467,36124.0,1401.0
464,465,age,176320,74262.0,756.0
465,466,else,175980,340756.0,242.0
466,467,force,175520,63737.0,861.0
467,468,idea,174236,263097.0,293.0
468,469,longer,173897,91035.0,657.0
469,470,art,173544,54096.0,999.0
470,471,spoke,172990,34035.0,1468.0
471,472,across,172901,67595.0,818.0
472,473,brother,172692,259877.0,300.0
473,474,early,172467,84836.0,694.0
474,475,ought,171690,34342.0,1462.0
475,476,sometimes,171309,128779.0,529.0
476,477,line,170962,132433.0,520.0
477,478,saying,170695,236600.0,332.0
478,479,table,170143,67702.0,816.0
479,480,appeared,169913,11306.0,3441.0
480,481,river,169470,45834.0,1124.0
481,482,continued,169086,7998.0,4492.0
482,483,eye,168723,81953.0,711.0
483,484,ety,168713,,
484,485,sun,168545,65448.0,842.0
485,486,information,168408,71840.0,778.0
486,487,later,167805,208878.0,363.0
487,488,everything,166395,519795.0,175.0
488,489,reached,165752,23358.0,1985.0
489,490,suddenly,164850,46833.0,1111.0
490,491,past,164703,106439.0,596.0
491,492,hours,164326,151156.0,471.0
492,493,strange,164147,76863.0,734.0
493,494,deep,163819,60938.0,900.0
494,495,change,163514,186962.0,393.0
495,496,miles,163341,62523.0,877.0
496,497,feeling,163269,122065.0,553.0
497,498,act,162869,79020.0,722.0
498,499,meet,162687,247466.0,318.0
499,500,paid,162605,66526.0,824.0
500,501,further,162328,43839.0,1173.0
501,502,purpose,162154,28471.0,1688.0
502,503,happy,162105,262141.0,296.0
503,504,added,161953,8891.0,4145.0
504,505,seem,161549,98575.0,626.0
